Voltage (volt),Spool Pos. (mm),Orifice Area (mm^2),Mass flow rate (g/sec),Cal. Vol. flow rate (l/min),Exp. Vol. flow rate (l/min)
5.0,0.0,0.0,0.0,0.0,0.0
5.125,0.05,0.0418,0.0133,0.6638,0.11
5.25,0.1,0.1175,0.0374,1.8632,0.23
5.375,0.15,0.2141,0.0682,3.3963,0.44
5.5,0.2,0.3270,0.1041,5.1875,1.75
5.625,0.25,0.4533,0.1443,7.1912,3.51
5.75,0.3,0.5909,0.1881,9.3754,7.89
5.875,0.35,0.7385,0.2350,11.716,10.09
6.0,0.4,0.8946,0.2848,14.192,14.04
6.125,0.45,1.0582,0.3369,16.787,17.54
6.25,0.5,1.2284,0.3910,19.487,21.05
6.375,0.55,1.4043,0.4470,22.278,23.68
6.5,0.6,1.5853,0.5047,25.150,27.63
6.625,0.65,1.7707,0.5637,28.091,30.7
6.75,0.7,1.9598,0.6239,31.090,34.21
6.875,0.75,2.1521,0.6851,34.141,39.04
7.0,0.8,2.3470,0.7471,37.232,42.98
7.125,0.85,2.5439,0.8098,40.355,45.61
7.25,0.9,2.7423,0.8730,43.503,50.0
7.375,0.95,2.9417,0.9364,46.666,53.07
7.5,1.0,3.1416,1.0000,49.837,54.82
7.625,1.05,3.3415,1.0637,53.009,57.01
7.75,1.1,3.5409,1.1272,56.172,60.96
7.875,1.15,3.7393,1.1903,59.322,63.6
8.0,1.2,3.9362,1.2530,62.443,65.79
8.125,1.25,4.1310,1.3151,65.534,67.54
8.25,1.3,4.3233,1.3763,68.584,69.74
8.375,1.35,4.5125,1.4365,71.585,72.81
8.5,1.4,4.6978,1.4955,74.525,75.88
8.625,1.45,4.8788,1.5531,77.397,78.07
8.75,1.5,5.0548,1.6091,80.189,80.26
8.875,1.55,5.2250,1.6633,82.888,82.46
9.0,1.6,5.3886,1.7154,85.483,85.09
9.125,1.65,5.5447,1.7651,87.959,86.84
9.25,1.7,5.6922,1.8120,90.299,89.47
9.375,1.75,5.8299,1.8558,92.484,92.1
9.5,1.8,5.9562,1.8960,94.487,94.74
9.625,1.85,6.0691,1.9320,96.279,96.49
9.75,1.9,6.1657,1.96276,97.812,98.25
9.875,1.95,6.2413,1.9868,99.011,100.0 